dropped_attributes,k,f1
"()",3,0.7985865724381627
"()",5,0.7924528301886793
"()",7,0.7816091954022988
"()",9,0.7862595419847328
"('age',)",3,0.7813620071684588
"('age',)",5,0.7686567164179104
"('age',)",7,0.7727272727272726
"('age',)",9,0.7816091954022988
"('sex',)",3,0.7813620071684588
"('sex',)",5,0.7756653992395438
"('sex',)",7,0.7751937984496123
"('sex',)",9,0.7596899224806202
"('cp_1.0',)",3,0.7915194346289752
"('cp_1.0',)",5,0.7924528301886793
"('cp_1.0',)",7,0.7786259541984732
"('cp_1.0',)",9,0.7786259541984732
"('cp_2.0',)",3,0.7797833935018053
"('cp_2.0',)",5,0.7816091954022988
"('cp_2.0',)",7,0.7782101167315175
"('cp_2.0',)",9,0.7812499999999999
"('cp_3.0',)",3,0.7741935483870969
"('cp_3.0',)",5,0.8045112781954887
"('cp_3.0',)",7,0.7938931297709925
"('cp_3.0',)",9,0.7906976744186046
"('cp_4.0',)",3,0.782608695652174
"('cp_4.0',)",5,0.7761194029850746
"('cp_4.0',)",7,0.7644787644787645
"('cp_4.0',)",9,0.7773584905660376
"('trestbps',)",3,0.7664233576642335
"('trestbps',)",5,0.7878787878787878
"('trestbps',)",7,0.7739463601532568
"('trestbps',)",9,0.7849056603773585
"('chol',)",3,0.7943262411347518
"('chol',)",5,0.7851851851851852
"('chol',)",7,0.7680608365019012
"('chol',)",9,0.7769230769230769
"('fbs',)",3,0.7872340425531915
"('fbs',)",5,0.7970479704797049
"('fbs',)",7,0.790874524714829
"('fbs',)",9,0.7751937984496123
"('restecg_0.0',)",3,0.7797833935018053
"('restecg_0.0',)",5,0.8045112781954887
"('restecg_0.0',)",7,0.7846153846153846
"('restecg_0.0',)",9,0.7633587786259541
"('restecg_1.0',)",3,0.7985865724381627
"('restecg_1.0',)",5,0.7924528301886793
"('restecg_1.0',)",7,0.7816091954022988
"('restecg_1.0',)",9,0.7862595419847328
"('restecg_2.0',)",3,0.7797833935018053
"('restecg_2.0',)",5,0.8045112781954887
"('restecg_2.0',)",7,0.7876447876447877
"('restecg_2.0',)",9,0.7633587786259541
"('thalach',)",3,0.7999999999999999
"('thalach',)",5,0.8059701492537313
"('thalach',)",7,0.8045112781954887
"('thalach',)",9,0.7862595419847328
"('exang',)",3,0.7714285714285715
"('exang',)",5,0.7751937984496123
"('exang',)",7,0.7680608365019012
"('exang',)",9,0.7744360902255638
"('oldpeak',)",3,0.7746478873239436
"('oldpeak',)",5,0.781021897810219
"('oldpeak',)",7,0.7749077490774907
"('oldpeak',)",9,0.7927272727272728
"('slope',)",3,0.761904761904762
"('slope',)",5,0.7846153846153846
"('slope',)",7,0.7862595419847328
"('slope',)",9,0.77992277992278
"('age', 'sex')",3,0.7636363636363636
"('age', 'sex')",5,0.7816091954022988
"('age', 'sex')",7,0.7633587786259541
"('age', 'sex')",9,0.765625
"('age', 'cp_1.0')",3,0.7714285714285715
"('age', 'cp_1.0')",5,0.7819548872180451
"('age', 'cp_1.0')",7,0.7622641509433962
"('age', 'cp_1.0')",9,0.7862595419847328
"('age', 'cp_2.0')",3,0.7765567765567766
"('age', 'cp_2.0')",5,0.7709923664122138
"('age', 'cp_2.0')",7,0.7709923664122138
"('age', 'cp_2.0')",9,0.7734374999999999
"('age', 'cp_3.0')",3,0.790035587188612
"('age', 'cp_3.0')",5,0.7769230769230769
"('age', 'cp_3.0')",7,0.7803030303030303
"('age', 'cp_3.0')",9,0.7829457364341086
"('age', 'cp_4.0')",3,0.7676056338028169
"('age', 'cp_4.0')",5,0.7686567164179104
"('age', 'cp_4.0')",7,0.7732342007434945
"('age', 'cp_4.0')",9,0.7786259541984732
"('age', 'trestbps')",3,0.7870036101083032
"('age', 'trestbps')",5,0.7806691449814126
"('age', 'trestbps')",7,0.7849056603773585
"('age', 'trestbps')",9,0.7865168539325842
"('age', 'chol')",3,0.7972027972027972
"('age', 'chol')",5,0.8044280442804429
"('age', 'chol')",7,0.7896678966789666
"('age', 'chol')",9,0.7938931297709925
"('age', 'fbs')",3,0.7725631768953068
"('age', 'fbs')",5,0.788104089219331
"('age', 'fbs')",7,0.7756653992395438
"('age', 'fbs')",9,0.7816091954022988
"('age', 'restecg_0.0')",3,0.7697841726618704
"('age', 'restecg_0.0')",5,0.7912087912087912
"('age', 'restecg_0.0')",7,0.7622641509433962
"('age', 'restecg_0.0')",9,0.7878787878787878
"('age', 'restecg_1.0')",3,0.7813620071684588
"('age', 'restecg_1.0')",5,0.7686567164179104
"('age', 'restecg_1.0')",7,0.7727272727272726
"('age', 'restecg_1.0')",9,0.7816091954022988
